# 自動生成（tools/fetch-numbers.ts）。直接編集しないこと。
# 出典: veekun のデータセット（pokedex パッケージ同梱）。PokéAPI と同じ出典。
# name は species.tsv の表記を検証するためだけに置いてある（import.ts が突き合わせる）。
id	name	catch	exp	ev	gender	baseExp
nidoran-m	ニドラン♂	235	medium-slow	atk:1	1	55
nidorino	ニドリーノ	120	medium-slow	atk:2	1	128
nidoking	ニドキング	45	medium-slow	atk:3	1	227
clefairy	ピッピ	150	fast	hp:2	0.25	113
clefable	ピクシー	25	fast	hp:3	0.25	217
vulpix	ロコン	190	medium-fast	spe:1	0.25	60
ninetales	キュウコン	75	medium-fast	spd:1,spe:1	0.25	177
jigglypuff	プリン	170	fast	hp:2	0.25	95
wigglytuff	プクリン	50	fast	hp:3	0.25	196
zubat	ズバット	255	medium-fast	spe:1	0.5	49
golbat	ゴルバット	90	medium-fast	spe:2	0.5	159
oddish	ナゾノクサ	255	medium-slow	spa:1	0.5	64
gloom	クサイハナ	120	medium-slow	spa:2	0.5	138
vileplume	ラフレシア	45	medium-slow	spa:3	0.5	221
paras	パラス	190	medium-fast	atk:1	0.5	57
parasect	パラセクト	75	medium-fast	atk:2,def:1	0.5	142
venonat	コンパン	190	medium-fast	spd:1	0.5	61
venomoth	モルフォン	75	medium-fast	spa:1,spe:1	0.5	158
diglett	ディグダ	255	medium-fast	spe:1	0.5	53
dugtrio	ダグトリオ	50	medium-fast	spe:2	0.5	149
meowth	ニャース	255	medium-fast	spe:1	0.5	58
persian	ペルシアン	90	medium-fast	spe:2	0.5	154
psyduck	コダック	190	medium-fast	spa:1	0.5	64
golduck	ゴルダック	75	medium-fast	spa:2	0.5	175
mankey	マンキー	190	medium-fast	atk:1	0.5	61
primeape	オコリザル	75	medium-fast	atk:2	0.5	159
growlithe	ガーディ	190	slow	atk:1	0.75	70
arcanine	ウインディ	75	slow	atk:2	0.75	194
poliwag	ニョロモ	255	medium-slow	spe:1	0.5	60
poliwhirl	ニョロゾ	120	medium-slow	spe:2	0.5	135
poliwrath	ニョロボン	45	medium-slow	def:3	0.5	230
abra	ケーシィ	200	medium-slow	spa:1	0.75	62
kadabra	ユンゲラー	100	medium-slow	spa:2	0.75	140
alakazam	フーディン	50	medium-slow	spa:3	0.75	225
machop	ワンリキー	180	medium-slow	atk:1	0.75	61
machoke	ゴーリキー	90	medium-slow	atk:2	0.75	142
machamp	カイリキー	45	medium-slow	atk:3	0.75	227
bellsprout	マダツボミ	255	medium-slow	atk:1	0.5	60
weepinbell	ウツドン	120	medium-slow	atk:2	0.5	137
victreebel	ウツボット	45	medium-slow	atk:3	0.5	221
tentacool	メノクラゲ	190	slow	spd:1	0.5	67
tentacruel	ドククラゲ	60	slow	spd:2	0.5	180
geodude	イシツブテ	255	medium-slow	def:1	0.5	60
graveler	ゴローン	120	medium-slow	def:2	0.5	137
golem	ゴローニャ	45	medium-slow	def:3	0.5	223
ponyta	ポニータ	190	medium-fast	spe:1	0.5	82
rapidash	ギャロップ	60	medium-fast	spe:2	0.5	175
slowpoke	ヤドン	190	medium-fast	hp:1	0.5	63
slowbro	ヤドラン	75	medium-fast	def:2	0.5	172
magnemite	コイル	190	medium-fast	spa:1	-	65
magneton	レアコイル	60	medium-fast	spa:2	-	163
farfetchd	カモネギ	45	medium-fast	atk:1	0.5	132
doduo	ドードー	190	medium-fast	atk:1	0.5	62
dodrio	ドードリオ	45	medium-fast	atk:2	0.5	165
seel	パウワウ	190	medium-fast	spd:1	0.5	65
dewgong	ジュゴン	75	medium-fast	spd:2	0.5	166
grimer	ベトベター	190	medium-fast	hp:1	0.5	65
muk	ベトベトン	75	medium-fast	atk:1,hp:1	0.5	175
shellder	シェルダー	190	slow	def:1	0.5	61
cloyster	パルシェン	60	slow	def:2	0.5	184
gastly	ゴース	190	medium-slow	spa:1	0.5	62
haunter	ゴースト	90	medium-slow	spa:2	0.5	142
gengar	ゲンガー	45	medium-slow	spa:3	0.5	225
onix	イワーク	45	medium-fast	def:1	0.5	77
drowzee	スリープ	190	medium-fast	spd:1	0.5	66
hypno	スリーパー	75	medium-fast	spd:2	0.5	169
krabby	クラブ	225	medium-fast	atk:1	0.5	65
kingler	キングラー	60	medium-fast	atk:2	0.5	166
voltorb	ビリリダマ	190	medium-fast	spe:1	-	66
electrode	マルマイン	60	medium-fast	spe:2	-	172
exeggcute	タマタマ	90	slow	def:1	0.5	65
exeggutor	ナッシー	45	slow	spa:2	0.5	186
cubone	カラカラ	190	medium-fast	def:1	0.5	64
marowak	ガラガラ	75	medium-fast	def:2	0.5	149
hitmonlee	サワムラー	45	medium-fast	atk:2	1	159
hitmonchan	エビワラー	45	medium-fast	spd:2	1	159
lickitung	ベロリンガ	45	medium-fast	hp:2	0.5	77
koffing	ドガース	190	medium-fast	def:1	0.5	68
weezing	マタドガス	60	medium-fast	def:2	0.5	172
rhyhorn	サイホーン	120	slow	def:1	0.5	69
rhydon	サイドン	60	slow	atk:2	0.5	170
chansey	ラッキー	30	fast	hp:2	0	395
tangela	モンジャラ	45	medium-fast	def:1	0.5	87
kangaskhan	ガルーラ	45	medium-fast	hp:2	0	172
horsea	タッツー	225	medium-fast	spa:1	0.5	59
seadra	シードラ	75	medium-fast	def:1,spa:1	0.5	154
goldeen	トサキント	225	medium-fast	atk:1	0.5	64
seaking	アズマオウ	60	medium-fast	atk:2	0.5	158
staryu	ヒトデマン	225	slow	spe:1	-	68
starmie	スターミー	60	slow	spe:2	-	182
mr-mime	バリヤード	45	medium-fast	spd:2	0.5	161
scyther	ストライク	45	medium-fast	atk:1	0.5	100
jynx	ルージュラ	45	medium-fast	spa:2	0	159
electabuzz	エレブー	45	medium-fast	spe:2	0.75	172
magmar	ブーバー	45	medium-fast	spa:2	0.75	173
pinsir	カイロス	45	slow	atk:2	0.5	175
tauros	ケンタロス	45	slow	atk:1,spe:1	1	172
magikarp	コイキング	255	slow	spe:1	0.5	40
gyarados	ギャラドス	45	slow	atk:2	0.5	189
lapras	ラプラス	45	slow	hp:2	0.5	187
ditto	メタモン	35	medium-fast	hp:1	-	101
eevee	イーブイ	45	medium-fast	spd:1	0.875	65
vaporeon	シャワーズ	45	medium-fast	hp:2	0.875	184
jolteon	サンダース	45	medium-fast	spe:2	0.875	184
flareon	ブースター	45	medium-fast	atk:2	0.875	184
porygon	ポリゴン	45	medium-fast	spa:1	-	79
omanyte	オムナイト	45	medium-fast	def:1	0.875	71
omastar	オムスター	45	medium-fast	def:2	0.875	173
kabuto	カブト	45	medium-fast	def:1	0.875	71
kabutops	カブトプス	45	medium-fast	atk:2	0.875	173
aerodactyl	プテラ	45	slow	spe:2	0.875	180
snorlax	カビゴン	25	slow	hp:2	0.875	189
articuno	フリーザー	3	slow	spd:3	-	261
zapdos	サンダー	3	slow	spa:3	-	261
moltres	ファイヤー	3	slow	spa:3	-	261
dratini	ミニリュウ	45	slow	atk:1	0.5	60
dragonair	ハクリュー	45	slow	atk:2	0.5	147
dragonite	カイリュー	45	slow	atk:3	0.5	270
mewtwo	ミュウツー	3	slow	spa:3	-	306
mew	ミュウ	45	medium-slow	hp:3	-	270
steelix	ハガネール	25	medium-fast	def:2	0.5	179
tyranitar	バンギラス	45	slow	atk:3	0.5	270
kingdra	キングドラ	45	medium-fast	atk:1,spa:1,spd:1	0.5	243
bellossom	キレイハナ	45	medium-slow	spd:3	0.5	221
espeon	エーフィ	45	medium-fast	spa:2	0.875	184
umbreon	ブラッキー	45	medium-fast	spd:2	0.875	184
slowking	ヤドキング	70	medium-fast	spd:3	0.5	172
houndoom	ヘルガー	45	slow	spa:2	0.5	175
hitmontop	カポエラー	45	medium-fast	spd:2	1	159
scizor	ハッサム	25	medium-fast	atk:2	0.5	175
blissey	ハピナス	30	fast	hp:3	0	608
crobat	クロバット	90	medium-fast	spe:3	0.5	241
milotic	ミロカロス	60	erratic	spd:2	0.5	189
manectric	ライボルト	45	slow	spe:2	0.5	166
gardevoir	サーナイト	45	slow	spa:3	0.5	233
hariyama	ハリテヤマ	200	fluctuating	hp:2	0.75	166
banette	ジュペッタ	45	fast	atk:2	0.5	159
salamence	ボーマンダ	45	slow	atk:3	0.5	270
metagross	メタグロス	3	slow	def:3	-	270
rhyperior	ドサイドン	30	slow	atk:3	0.5	241
roserade	ロズレイド	75	medium-slow	spa:3	0.5	232
tangrowth	モジャンボ	30	medium-fast	def:2	0.5	187
toxicroak	ドクロッグ	75	medium-fast	atk:2	0.5	172
magmortar	ブーバーン	30	medium-fast	spa:3	0.75	243
electivire	エレキブル	30	medium-fast	atk:3	0.75	243
garchomp	ガブリアス	45	slow	atk:3	0.5	270
abomasnow	ユキノオー	60	slow	atk:1,spa:1	0.5	173
mamoswine	マンムー	50	slow	atk:3	0.5	239
glaceon	グレイシア	45	medium-fast	spa:2	0.875	184
leafeon	リーフィア	45	medium-fast	def:2	0.875	184
mismagius	ムウマージ	45	fast	spa:1,spd:1	0.5	173
dusknoir	ヨノワール	45	fast	def:1,spd:2	0.5	236
drapion	ドラピオン	45	slow	def:2	0.5	175
togekiss	トゲキッス	30	fast	spa:2,spd:1	0.875	245
scolipede	ペンドラー	45	medium-slow	spe:3	0.5	218
chandelure	シャンデラ	45	medium-slow	spa:3	0.5	234
excadrill	ドリュウズ	60	medium-fast	atk:2	0.5	178
conkeldurr	ローブシン	45	medium-slow	atk:3	0.75	227
sylveon	ニンフィア	45	medium-fast	spd:2	0.875	184
slugma	マグマッグ	190	medium-fast	spa:1	0.5	50
magcargo	マグカルゴ	75	medium-fast	def:2	0.5	151
dunsparce	ノコッチ	190	medium-fast	hp:1	0.5	145
