# トレーナーの手持ち。1行 = 1体。並びがそのまま繰り出す順。
#
# 列は named-parties.tsv に揃えてあるが、**性格・努力値・特性の欄は置かない。**
# あれはエンドゲームの調整欄で、道中のトレーナーには要らない ――
# 4つの欄すべてが空で並ぶ表を作ると、書き忘れと「書く必要が無い」が
# 区別できなくなる（Ruleset に歩数制限を足さない判断と同じ理由）。
#
# item だけ残す。原作の道中トレーナーはたまに持ち物を持つ。
trainer	species	level	moves	item
kanto-lorelei	jynx	56	psychic/ice-beam/dazzling-gleam	-
kanto-lorelei	lapras	56	blizzard/surf/body-slam/thunderbolt	-
kanto-bruno	onix	53	rock-slide/earthquake/iron-tail	-
kanto-bruno	hitmonchan	55	brick-break/ice-punch/thunder-punch/fire-punch	-
kanto-bruno	hitmonlee	55	brick-break/double-kick/take-down	-
kanto-bruno	onix	56	rock-slide/earthquake/screech	-
kanto-bruno	machamp	58	brick-break/earthquake/body-slam/crunch	-
kanto-agatha	gengar	56	shadow-ball/sludge-bomb/hypnosis/confuse-ray	-
kanto-agatha	golbat	56	aerial-ace/poison-jab/confuse-ray	-
kanto-agatha	haunter	55	shadow-ball/sludge-bomb/hypnosis	-
kanto-agatha	arbok	58	poison-jab/crunch/screech	-
kanto-agatha	gengar	60	shadow-ball/psychic/sludge-bomb/thunderbolt	-
kanto-lance	gyarados	58	waterfall/crunch/ice-beam/body-slam	-
kanto-lance	dragonair	56	dragon-claw/thunderbolt/iron-tail	-
kanto-lance	dragonair	56	dragon-claw/ice-beam/body-slam	-
kanto-lance	aerodactyl	60	rock-slide/aerial-ace/crunch	-
kanto-lance	dragonite	62	dragon-claw/thunderbolt/ice-beam/extreme-speed	-
kanto-champion-bulbasaur	pidgeot	59	aerial-ace/wing-attack/agility/take-down	-
kanto-champion-bulbasaur	alakazam	57	psychic/psycho-cut/calm-mind/recover	-
kanto-champion-bulbasaur	rhydon	59	earthquake/rock-slide/horn-attack/body-slam	-
kanto-champion-bulbasaur	arcanine	58	flare-blitz/crunch/body-slam	-
kanto-champion-bulbasaur	venusaur	63	razor-leaf/sludge-bomb/giga-drain/petal-blizzard	-
kanto-champion-charmander	pidgeot	59	aerial-ace/wing-attack/agility/take-down	-
kanto-champion-charmander	alakazam	57	psychic/psycho-cut/calm-mind/recover	-
kanto-champion-charmander	rhydon	59	earthquake/rock-slide/horn-attack/body-slam	-
kanto-champion-charmander	exeggutor	58	giga-drain/psychic/razor-leaf	-
kanto-champion-charmander	charizard	63	flamethrower/aerial-ace/crunch/fire-blast	-
kanto-champion-squirtle	pidgeot	59	aerial-ace/wing-attack/agility/take-down	-
kanto-champion-squirtle	alakazam	57	psychic/psycho-cut/calm-mind/recover	-
kanto-champion-squirtle	rhydon	59	earthquake/rock-slide/horn-attack/body-slam	-
kanto-champion-squirtle	exeggutor	58	giga-drain/psychic/razor-leaf	-
kanto-champion-squirtle	blastoise	63	waterfall/ice-beam/body-slam/surf	-
kanto-route17-biker	weezing	30	sludge/smokescreen	-
kanto-route17-biker	muk	30	sludge/poison-gas	-
kanto-route18-birdkeeper	fearow	29	drill-run/aerial-ace	-
kanto-route18-birdkeeper	dodrio	29	tri-attack/fury-attack	-
kanto-route24-camper	bellsprout	14	vine-whip/sleep-powder	-
kanto-route24-camper	oddish	14	absorb/poison-powder	-
kanto-route25-hiker	geodude	16	rock-throw/tackle	-
kanto-route25-hiker	onix	16	rock-throw/harden	-
kanto-dojo-student	machop	37	karate-chop/low-sweep/vital-throw	-
kanto-dojo-student	mankey	37	karate-chop/low-sweep/screech	-
kanto-dojo-master	machoke	40	karate-chop/low-sweep/vital-throw	-
kanto-dojo-master	primeape	42	cross-chop/slash/screech	-
kanto-dojo-master	machamp	43	cross-chop/submission/earthquake	-
kanto-rocket-b1f	raticate	26	hyper-fang/quick-attack	-
kanto-rocket-b1f	zubat	26	bite/supersonic	-
kanto-rocket-b2f	golbat	29	bite/wing-attack/confuse-ray	-
kanto-rocket-b2f	koffing	29	sludge/smokescreen	-
kanto-rocket-b3f	arbok	31	bite/acid/glare	-
kanto-rocket-b3f	grimer	31	sludge/pound	-
kanto-rocket-b4f	weezing	33	sludge/smokescreen/tackle	-
kanto-rocket-b4f	golbat	33	bite/wing-attack/confuse-ray	-
kanto-giovanni-hideout	onix	25	rock-slide/tackle	-
kanto-giovanni-hideout	rhyhorn	24	horn-attack/rock-slide	-
kanto-giovanni-hideout	kangaskhan	29	body-slam/bite/mega-punch	-
kanto-silph-grunt-3f	golbat	33	bite/wing-attack/confuse-ray	-
kanto-silph-grunt-3f	drowzee	33	confusion/hypnosis	-
kanto-silph-grunt-5f	arbok	35	bite/glare/acid	-
kanto-silph-grunt-5f	weezing	35	sludge/smokescreen	-
kanto-silph-grunt-7f	hypno	37	psychic/hypnosis/headbutt	-
kanto-silph-grunt-7f	machoke	37	karate-chop/low-sweep	-
kanto-giovanni-silph	nidorino	37	horn-attack/poison-sting	-
kanto-giovanni-silph	kangaskhan	35	body-slam/bite/mega-punch	-
kanto-giovanni-silph	rhyhorn	37	horn-attack/rock-slide	-
kanto-giovanni-silph	nidoqueen	41	body-slam/earthquake/bite	-
kanto-tower-channeler-3f	gastly	23	lick/hypnosis/confuse-ray	-
kanto-tower-channeler-3f	haunter	24	lick/confuse-ray/shadow-ball	-
kanto-tower-channeler-5f	haunter	26	shadow-ball/confuse-ray/hypnosis	-
kanto-tower-channeler-5f	gastly	26	lick/confuse-ray	-
kanto-tower-rocket-7f	zubat	25	bite/supersonic	-
kanto-tower-rocket-7f	golbat	28	bite/wing-attack	-
kanto-rival-r22a-bulbasaur	pidgey	9	tackle/gust	-
kanto-rival-r22a-bulbasaur	bulbasaur	9	tackle/growl	-
kanto-rival-r22a-charmander	pidgey	9	tackle/gust	-
kanto-rival-r22a-charmander	charmander	9	scratch/growl	-
kanto-rival-r22a-squirtle	pidgey	9	tackle/gust	-
kanto-rival-r22a-squirtle	squirtle	9	tackle/tail-whip	-
kanto-rival-cerulean-bulbasaur	pidgeotto	17	wing-attack/quick-attack	-
kanto-rival-cerulean-bulbasaur	kadabra	16	confusion/psybeam	-
kanto-rival-cerulean-bulbasaur	rattata	15	hyper-fang/quick-attack	-
kanto-rival-cerulean-bulbasaur	ivysaur	18	razor-leaf/sludge-bomb/giga-drain	-
kanto-rival-cerulean-charmander	pidgeotto	17	wing-attack/quick-attack	-
kanto-rival-cerulean-charmander	kadabra	16	confusion/psybeam	-
kanto-rival-cerulean-charmander	rattata	15	hyper-fang/quick-attack	-
kanto-rival-cerulean-charmander	charmeleon	18	flamethrower/slash/crunch	-
kanto-rival-cerulean-squirtle	pidgeotto	17	wing-attack/quick-attack	-
kanto-rival-cerulean-squirtle	kadabra	16	confusion/psybeam	-
kanto-rival-cerulean-squirtle	rattata	15	hyper-fang/quick-attack	-
kanto-rival-cerulean-squirtle	wartortle	18	waterfall/ice-beam/bite	-
kanto-rival-tower-bulbasaur	pidgeotto	25	wing-attack/aerial-ace	-
kanto-rival-tower-bulbasaur	gyarados	22	bite/waterfall	-
kanto-rival-tower-bulbasaur	growlithe	20	ember/bite	-
kanto-rival-tower-bulbasaur	ivysaur	25	razor-leaf/sludge-bomb/giga-drain	-
kanto-rival-tower-charmander	pidgeotto	25	wing-attack/aerial-ace	-
kanto-rival-tower-charmander	gyarados	22	bite/waterfall	-
kanto-rival-tower-charmander	growlithe	20	ember/bite	-
kanto-rival-tower-charmander	charmeleon	25	flamethrower/slash/crunch	-
kanto-rival-tower-squirtle	pidgeotto	25	wing-attack/aerial-ace	-
kanto-rival-tower-squirtle	gyarados	22	bite/waterfall	-
kanto-rival-tower-squirtle	growlithe	20	ember/bite	-
kanto-rival-tower-squirtle	wartortle	25	waterfall/ice-beam/bite	-
kanto-rival-silph-bulbasaur	pidgeot	37	wing-attack/aerial-ace/agility	-
kanto-rival-silph-bulbasaur	growlithe	35	ember/bite/headbutt	-
kanto-rival-silph-bulbasaur	exeggcute	35	confusion/psybeam	-
kanto-rival-silph-bulbasaur	kadabra	35	psychic/psybeam/recover	-
kanto-rival-silph-bulbasaur	venusaur	40	razor-leaf/sludge-bomb/giga-drain	-
kanto-rival-silph-charmander	pidgeot	37	wing-attack/aerial-ace/agility	-
kanto-rival-silph-charmander	growlithe	35	ember/bite/headbutt	-
kanto-rival-silph-charmander	exeggcute	35	confusion/psybeam	-
kanto-rival-silph-charmander	kadabra	35	psychic/psybeam/recover	-
kanto-rival-silph-charmander	charizard	40	flamethrower/slash/dragon-claw	-
kanto-rival-silph-squirtle	pidgeot	37	wing-attack/aerial-ace/agility	-
kanto-rival-silph-squirtle	growlithe	35	ember/bite/headbutt	-
kanto-rival-silph-squirtle	exeggcute	35	confusion/psybeam	-
kanto-rival-silph-squirtle	kadabra	35	psychic/psybeam/recover	-
kanto-rival-silph-squirtle	blastoise	40	hydro-pump/ice-beam/bite	-
kanto-sevii-rocket-1	koffing	30	sludge/smokescreen	-
kanto-sevii-rocket-1	raticate	32	hyper-fang/quick-attack	-
kanto-sevii-rocket-2	zubat	30	bite/confuse-ray	-
kanto-sevii-rocket-2	golbat	33	bite/wing-attack/confuse-ray	-
kanto-sevii-biker	grimer	30	sludge/poison-gas	-
kanto-sevii-biker	weezing	32	sludge/smokescreen	-
kanto-sevii-warehouse	golbat	36	bite/wing-attack/confuse-ray	-
kanto-sevii-warehouse	weezing	38	sludge-bomb/smokescreen	-
kanto-route-2-bug-1	caterpie	8	string-shot/tackle	-
kanto-route-2-bug-1	weedle	6	poison-sting/string-shot	-
kanto-route-3-lass-1	pidgey	12	tackle/sand-attack/gust	-
kanto-route-3-lass-1	spearow	10	growl/peck/leer	-
kanto-route-3-lass-2	mankey	12	covet/leer/scratch/fury-swipes	-
kanto-route-3-lass-2	pidgey	10	tackle/sand-attack/gust	-
kanto-route-3-youngster-1	pidgey	12	tackle/sand-attack/gust	-
kanto-route-3-youngster-1	spearow	10	growl/peck/leer	-
kanto-route-4-lass-1	horsea	14	leer/water-gun/smokescreen/twister	-
kanto-route-4-lass-1	krabby	12	water-gun/harden/metal-claw/mud-shot	-
kanto-route-5-youngster-1	meowth	16	feint/scratch/pay-day/bite	-
kanto-route-5-youngster-1	pidgey	14	tackle/sand-attack/gust/quick-attack	-
kanto-route-5-youngster-2	pidgey	16	tackle/sand-attack/gust/quick-attack	-
kanto-route-5-youngster-2	meowth	14	growl/feint/scratch/pay-day	-
kanto-route-6-lass-1	poliwag	17	hypnosis/water-gun/pound/mud-shot	-
kanto-route-6-lass-1	goldeen	15	tail-whip/supersonic/water-pulse/horn-attack	-
kanto-route-6-lass-2	magikarp	17	splash/tackle	-
kanto-route-6-lass-2	magikarp	15	splash/tackle	-
kanto-route-7-picnicker-1	meowth	20	feint/scratch/pay-day/bite	-
kanto-route-7-picnicker-1	pidgey	18	tackle/sand-attack/gust/quick-attack	-
kanto-route-7-picnicker-2	meowth	20	feint/scratch/pay-day/bite	-
kanto-route-7-picnicker-2	pidgey	18	tackle/sand-attack/gust/quick-attack	-
kanto-route-8-youngster-1	meowth	21	feint/scratch/pay-day/bite	-
kanto-route-8-youngster-1	pidgey	19	tackle/sand-attack/gust/quick-attack	-
kanto-route-8-youngster-2	meowth	21	feint/scratch/pay-day/bite	-
kanto-route-8-youngster-2	pidgey	19	tackle/sand-attack/gust/quick-attack	-
kanto-route-8-youngster-3	ekans	21	bite/glare/screech/acid	-
kanto-route-8-youngster-3	sandshrew	19	poison-sting/sand-attack/rapid-spin/bulldoze	-
kanto-route-9-youngster-1	rattata	22	bite/hyper-fang/assurance/crunch	-
kanto-route-9-youngster-1	spearow	20	peck/leer/fury-attack/aerial-ace	-
kanto-route-9-youngster-2	rattata	22	bite/hyper-fang/assurance/crunch	-
kanto-route-9-youngster-2	spearow	20	peck/leer/fury-attack/aerial-ace	-
kanto-route-9-youngster-3	ekans	22	bite/glare/screech/acid	-
kanto-route-9-youngster-3	ekans	20	bite/glare/screech/acid	-
kanto-route-10-hiker-1	sandshrew	23	sand-attack/rapid-spin/bulldoze/swift	-
kanto-route-10-hiker-1	sandshrew	21	sand-attack/rapid-spin/bulldoze/swift	-
kanto-route-10-hiker-2	sandshrew	23	sand-attack/rapid-spin/bulldoze/swift	-
kanto-route-10-hiker-2	sandshrew	21	sand-attack/rapid-spin/bulldoze/swift	-
kanto-route-11-gambler-1	horsea	24	water-gun/smokescreen/twister/dragon-breath	-
kanto-route-11-gambler-1	krabby	22	harden/metal-claw/mud-shot/bubble-beam	-
kanto-route-11-gambler-2	magikarp	24	splash/tackle	-
kanto-route-11-gambler-2	magikarp	22	splash/tackle	-
kanto-route-11-gambler-3	horsea	24	water-gun/smokescreen/twister/dragon-breath	-
kanto-route-11-gambler-3	krabby	22	harden/metal-claw/mud-shot/bubble-beam	-
kanto-route-12-fisher-1	horsea	28	smokescreen/twister/dragon-breath/bubble-beam	-
kanto-route-12-fisher-1	krabby	26	metal-claw/mud-shot/bubble-beam/stomp	-
kanto-route-12-fisher-2	magikarp	28	splash/tackle	-
kanto-route-12-fisher-2	magikarp	26	splash/tackle	-
kanto-route-12-fisher-3	horsea	28	smokescreen/twister/dragon-breath/bubble-beam	-
kanto-route-12-fisher-3	krabby	26	metal-claw/mud-shot/bubble-beam/stomp	-
kanto-route-13-lass-1	horsea	29	smokescreen/twister/dragon-breath/bubble-beam	-
kanto-route-13-lass-1	krabby	27	metal-claw/mud-shot/bubble-beam/stomp	-
kanto-route-13-lass-2	magikarp	29	splash/tackle	-
kanto-route-13-lass-2	magikarp	27	splash/tackle	-
kanto-route-13-lass-3	horsea	29	smokescreen/twister/dragon-breath/bubble-beam	-
kanto-route-13-lass-3	krabby	27	metal-claw/mud-shot/bubble-beam/stomp	-
kanto-route-14-ace-1	venonat	30	psybeam/stun-spore/bug-buzz/sleep-powder	-
kanto-route-14-ace-1	ditto	28	transform	-
kanto-route-14-ace-2	bellsprout	30	stun-spore/acid/knock-off/sweet-scent	-
kanto-route-14-ace-2	oddish	28	sleep-powder/giga-drain/toxic/moonblast	-
kanto-route-14-ace-3	pidgey	30	quick-attack/twister/feather-dance/agility	-
kanto-route-14-ace-3	venonat	28	poison-powder/psybeam/stun-spore/bug-buzz	-
kanto-route-15-ace-1	venonat	31	psybeam/stun-spore/bug-buzz/sleep-powder	-
kanto-route-15-ace-1	bellsprout	29	stun-spore/acid/knock-off/sweet-scent	-
kanto-route-15-ace-2	oddish	31	sleep-powder/giga-drain/toxic/moonblast	-
kanto-route-15-ace-2	pidgey	29	quick-attack/twister/feather-dance/agility	-
kanto-route-15-ace-3	pidgey	31	quick-attack/twister/feather-dance/agility	-
kanto-route-15-ace-3	venonat	29	psybeam/stun-spore/bug-buzz/sleep-powder	-
kanto-route-16-biker-1	doduo	32	fury-attack/pluck/double-hit/agility	-
kanto-route-16-biker-1	spearow	30	fury-attack/aerial-ace/assurance/agility	-
kanto-route-16-biker-2	rattata	32	hyper-fang/assurance/crunch/double-edge	-
kanto-route-16-biker-2	doduo	30	fury-attack/pluck/double-hit/agility	-
kanto-route-17-biker-1	doduo	33	pluck/double-hit/agility/swords-dance	-
kanto-route-17-biker-1	spearow	31	fury-attack/aerial-ace/assurance/agility	-
kanto-route-17-biker-2	doduo	33	pluck/double-hit/agility/swords-dance	-
kanto-route-17-biker-2	raticate	31	bite/hyper-fang/assurance/crunch	-
kanto-route-17-biker-3	raticate	33	bite/hyper-fang/assurance/crunch	-
kanto-route-17-biker-3	spearow	31	fury-attack/aerial-ace/assurance/agility	-
kanto-route-18-biker-1	doduo	34	pluck/double-hit/agility/swords-dance	-
kanto-route-18-biker-1	spearow	32	fury-attack/aerial-ace/assurance/agility	-
kanto-route-18-biker-2	doduo	34	pluck/double-hit/agility/swords-dance	-
kanto-route-18-biker-2	fearow	32	fury-attack/aerial-ace/assurance/agility	-



kanto-route-24-bug-1	caterpie	18	string-shot/tackle/bug-bite	-
kanto-route-24-bug-1	weedle	16	poison-sting/string-shot/bug-bite	-
kanto-route-24-bug-2	kakuna	18	harden	-
kanto-route-24-bug-2	metapod	16	harden	-
kanto-route-25-lass-1	poliwag	19	water-gun/pound/mud-shot/bubble-beam	-
kanto-route-25-lass-1	goldeen	17	tail-whip/supersonic/water-pulse/horn-attack	-
kanto-route-25-lass-2	magikarp	19	splash/tackle	-
kanto-route-25-lass-2	magikarp	17	splash/tackle	-
kanto-route-25-lass-3	poliwag	19	water-gun/pound/mud-shot/bubble-beam	-
kanto-route-25-lass-3	poliwhirl	17	hypnosis/mud-shot/pound/water-gun	-
kanto-mt-moon-hiker-1	geodude	13	tackle/rock-polish/bulldoze	-
kanto-mt-moon-hiker-1	geodude	11	tackle/rock-polish	-
kanto-mt-moon-hiker-2	geodude	13	tackle/rock-polish/bulldoze	-
kanto-mt-moon-hiker-2	geodude	11	tackle/rock-polish	-
kanto-rock-tunnel-1f-hiker-1	geodude	24	tackle/rock-polish/bulldoze/rock-throw	-
kanto-rock-tunnel-1f-hiker-1	geodude	22	tackle/rock-polish/bulldoze/rock-throw	-
kanto-rock-tunnel-1f-hiker-2	machop	24	low-sweep/knock-off/scary-face/vital-throw	-
kanto-rock-tunnel-1f-hiker-2	mankey	22	leer/scratch/fury-swipes/cross-chop	-
kanto-rock-tunnel-1f-hiker-3	geodude	24	tackle/rock-polish/bulldoze/rock-throw	-
kanto-rock-tunnel-1f-hiker-3	machop	22	revenge/low-sweep/knock-off/scary-face	-

kanto-route-19-swimmer-1	horsea	35	dragon-breath/bubble-beam/agility/water-pulse	-
kanto-route-19-swimmer-1	krabby	33	mud-shot/bubble-beam/stomp/razor-shell	-
kanto-route-19-swimmer-2	magikarp	35	splash/tackle	-
kanto-route-19-swimmer-2	magikarp	33	splash/tackle	-
kanto-route-19-swimmer-3	horsea	35	dragon-breath/bubble-beam/agility/water-pulse	-
kanto-route-19-swimmer-3	krabby	33	mud-shot/bubble-beam/stomp/razor-shell	-
kanto-route-20-swimmer-1	horsea	36	dragon-breath/bubble-beam/agility/water-pulse	-
kanto-route-20-swimmer-1	krabby	34	mud-shot/bubble-beam/stomp/razor-shell	-
kanto-route-20-swimmer-2	magikarp	36	splash/tackle	-
kanto-route-20-swimmer-2	magikarp	34	splash/tackle	-
kanto-route-21-swimmer-1	horsea	37	dragon-breath/bubble-beam/agility/water-pulse	-
kanto-route-21-swimmer-1	krabby	35	mud-shot/bubble-beam/stomp/razor-shell	-
kanto-route-21-swimmer-2	magikarp	37	splash/tackle	-
kanto-route-21-swimmer-2	magikarp	35	splash/tackle	-

kanto-pewter-gym-gymjr-1	geodude	11	tackle/rock-polish	-
kanto-pewter-gym-gymjr-1	onix	9	harden/rock-throw/tackle/rock-polish	-
kanto-pewter-gym-gymjr-2	geodude	11	tackle/rock-polish	-
kanto-pewter-gym-gymjr-2	onix	9	harden/rock-throw/tackle/rock-polish	-
kanto-cerulean-gym-gymjr-1	staryu	18	tackle/water-gun/confuse-ray/rapid-spin	-
kanto-cerulean-gym-gymjr-1	goldeen	16	tail-whip/supersonic/water-pulse/horn-attack	-
kanto-cerulean-gym-gymjr-2	psyduck	18	confusion/fury-swipes/water-pulse/zen-headbutt	-
kanto-cerulean-gym-gymjr-2	staryu	16	tackle/water-gun/confuse-ray/rapid-spin	-
kanto-vermilion-gym-gymjr-1	pikachu	22	thunder-wave/double-team/feint/spark	-
kanto-vermilion-gym-gymjr-1	magnemite	20	thunder-shock/supersonic/thunder-wave/spark	-
kanto-vermilion-gym-gymjr-2	voltorb	22	spark/screech/charge-beam/swift	-
kanto-vermilion-gym-gymjr-2	pikachu	20	thunder-wave/double-team/feint/spark	-
kanto-celadon-gym-gymjr-1	oddish	26	stun-spore/sleep-powder/giga-drain/toxic	-
kanto-celadon-gym-gymjr-1	bellsprout	24	sleep-powder/poison-powder/stun-spore/acid	-
kanto-celadon-gym-gymjr-2	tangela	26	stun-spore/mega-drain/vine-whip/poison-powder	-
kanto-celadon-gym-gymjr-2	oddish	24	stun-spore/sleep-powder/giga-drain/toxic	-
kanto-celadon-gym-gymjr-3	bellsprout	26	sleep-powder/poison-powder/stun-spore/acid	-
kanto-celadon-gym-gymjr-3	tangela	24	stun-spore/mega-drain/vine-whip/poison-powder	-
kanto-fuchsia-gym-gymjr-1	koffing	32	clear-smog/assurance/sludge/sludge-bomb	-
kanto-fuchsia-gym-gymjr-1	grimer	30	sludge/mud-shot/toxic/sludge-bomb	-
kanto-fuchsia-gym-gymjr-2	venonat	32	psybeam/stun-spore/bug-buzz/sleep-powder	-
kanto-fuchsia-gym-gymjr-2	koffing	30	smokescreen/clear-smog/assurance/sludge	-
kanto-fuchsia-gym-gymjr-3	grimer	32	mud-shot/toxic/sludge-bomb/sludge-wave	-
kanto-fuchsia-gym-gymjr-3	venonat	30	psybeam/stun-spore/bug-buzz/sleep-powder	-
kanto-saffron-gym-gymjr-1	kadabra	38	psycho-cut/recover/psyshock/psychic	-
kanto-saffron-gym-gymjr-1	drowzee	36	headbutt/poison-gas/psybeam/zen-headbutt	-
kanto-cinnabar-gym-gymjr-1	growlithe	42	retaliate/crunch/take-down/flamethrower	-
kanto-cinnabar-gym-gymjr-1	ponyta	40	flame-charge/agility/flame-wheel/stomp	-
