# 種族データ。**数値の事実（捕獲率・成長曲線・努力値・性別比・与える経験値）は
# source/species-numbers.tsv が持ち主**（tools/fetch-numbers.ts が公式データから生成）。
# ここに置くのは図鑑番号・名前・タイプ・種族値・特性 ―― 種を1件足すときに人が書く列。
# name は species-numbers.tsv と突き合わせて検証される（import.ts）。
id	dex	name	type1	type2	hp	atk	def	spa	spd	spe	bst	abilities
slowpoke	79	ヤドン	water	psychic	90	65	65	40	40	15	315	oblivious
slowbro	80	ヤドラン	water	psychic	95	75	110	100	80	30	490	oblivious
magnemite	81	コイル	electric	steel	25	35	70	95	55	45	325	magnet-pull
magneton	82	レアコイル	electric	steel	50	60	95	120	70	70	465	magnet-pull
farfetchd	83	カモネギ	normal	flying	52	90	55	58	62	60	377	keen-eye
doduo	84	ドードー	normal	flying	35	85	45	35	35	75	310	run-away
dodrio	85	ドードリオ	normal	flying	60	110	70	60	70	110	480	run-away
seel	86	パウワウ	water	-	65	45	55	45	70	45	325	thick-fat
dewgong	87	ジュゴン	water	ice	90	70	80	70	95	70	475	thick-fat
grimer	88	ベトベター	poison	-	80	80	50	40	50	25	325	stench
muk	89	ベトベトン	poison	-	105	105	75	65	100	50	500	stench
shellder	90	シェルダー	water	-	30	65	100	45	25	40	305	shell-armor
cloyster	91	パルシェン	water	ice	50	95	180	85	45	70	525	shell-armor
gastly	92	ゴース	ghost	poison	30	35	30	100	35	80	310	levitate
haunter	93	ゴースト	ghost	poison	45	50	45	115	55	95	405	levitate
gengar	94	ゲンガー	ghost	poison	60	65	60	130	75	110	500	cursed-body
onix	95	イワーク	rock	ground	35	45	160	30	45	70	385	rock-head
drowzee	96	スリープ	psychic	-	60	48	45	43	90	42	328	insomnia
hypno	97	スリーパー	psychic	-	85	73	70	73	115	67	483	insomnia
krabby	98	クラブ	water	-	30	105	90	25	25	50	325	hyper-cutter
kingler	99	キングラー	water	-	55	130	115	50	50	75	475	hyper-cutter
voltorb	100	ビリリダマ	electric	-	40	30	50	55	55	100	330	soundproof
electrode	101	マルマイン	electric	-	60	50	70	80	80	150	490	soundproof
exeggcute	102	タマタマ	grass	psychic	60	40	80	60	45	40	325	chlorophyll
exeggutor	103	ナッシー	grass	psychic	95	95	85	125	75	55	530	chlorophyll
cubone	104	カラカラ	ground	-	50	50	95	40	50	35	320	rock-head
marowak	105	ガラガラ	ground	-	60	80	110	50	80	45	425	rock-head
hitmonlee	106	サワムラー	fighting	-	50	120	53	35	110	87	455	limber
hitmonchan	107	エビワラー	fighting	-	50	105	79	35	110	76	455	keen-eye
lickitung	108	ベロリンガ	normal	-	90	55	75	60	75	30	385	own-tempo
koffing	109	ドガース	poison	-	40	65	95	60	45	35	340	levitate
weezing	110	マタドガス	poison	-	65	90	120	85	70	60	490	levitate
rhyhorn	111	サイホーン	ground	rock	80	85	95	30	30	25	345	lightning-rod
rhydon	112	サイドン	ground	rock	105	130	120	45	45	40	485	lightning-rod
chansey	113	ラッキー	normal	-	250	5	5	35	105	50	450	natural-cure
tangela	114	モンジャラ	grass	-	65	55	115	100	40	60	435	chlorophyll
kangaskhan	115	ガルーラ	normal	-	105	95	80	40	80	90	490	early-bird
horsea	116	タッツー	water	-	30	40	70	70	25	60	295	swift-swim
seadra	117	シードラ	water	-	55	65	95	95	45	85	440	poison-point
goldeen	118	トサキント	water	-	45	67	60	35	50	63	320	swift-swim
seaking	119	アズマオウ	water	-	80	92	65	65	80	68	450	swift-swim
staryu	120	ヒトデマン	water	-	30	45	55	70	55	85	340	illuminate
starmie	121	スターミー	water	psychic	60	75	85	100	85	115	520	illuminate
mr-mime	122	バリヤード	psychic	fairy	40	45	65	100	120	90	460	soundproof
scyther	123	ストライク	bug	flying	70	110	80	55	80	105	500	swarm
jynx	124	ルージュラ	ice	psychic	65	50	35	115	95	95	455	oblivious
electabuzz	125	エレブー	electric	-	65	83	57	95	85	105	490	static
magmar	126	ブーバー	fire	-	65	95	57	100	85	93	495	flame-body
pinsir	127	カイロス	bug	-	65	125	100	55	70	85	500	hyper-cutter
tauros	128	ケンタロス	normal	-	75	100	95	40	70	110	490	intimidate
magikarp	129	コイキング	water	-	20	10	55	15	20	80	200	swift-swim
gyarados	130	ギャラドス	water	flying	95	125	79	60	100	81	540	intimidate
lapras	131	ラプラス	water	ice	130	85	80	85	95	60	535	water-absorb
ditto	132	メタモン	normal	-	48	48	48	48	48	48	288	limber
eevee	133	イーブイ	normal	-	55	55	50	45	65	55	325	run-away
vaporeon	134	シャワーズ	water	-	130	65	60	110	95	65	525	water-absorb
jolteon	135	サンダース	electric	-	65	65	60	110	95	130	525	volt-absorb
flareon	136	ブースター	fire	-	65	130	60	95	110	65	525	flash-fire
porygon	137	ポリゴン	normal	-	65	60	70	85	75	40	395	trace
omanyte	138	オムナイト	rock	water	35	40	100	90	55	35	355	swift-swim
omastar	139	オムスター	rock	water	70	60	125	115	70	55	495	swift-swim
kabuto	140	カブト	rock	water	30	80	90	55	45	55	355	swift-swim
kabutops	141	カブトプス	rock	water	60	115	105	65	70	80	495	swift-swim
aerodactyl	142	プテラ	rock	flying	80	105	65	60	75	130	515	rock-head
snorlax	143	カビゴン	normal	-	160	110	65	65	110	30	540	immunity
articuno	144	フリーザー	ice	flying	90	85	100	95	125	85	580	pressure
zapdos	145	サンダー	electric	flying	90	90	85	125	90	100	580	pressure
moltres	146	ファイヤー	fire	flying	90	100	90	125	85	90	580	pressure
dratini	147	ミニリュウ	dragon	-	41	64	45	50	50	50	300	shed-skin
dragonair	148	ハクリュー	dragon	-	61	84	65	70	70	70	420	shed-skin
dragonite	149	カイリュー	dragon	flying	91	134	95	100	100	80	600	inner-focus
mewtwo	150	ミュウツー	psychic	-	106	110	90	154	90	130	680	pressure
mew	151	ミュウ	psychic	-	100	100	100	100	100	100	600	synchronize
steelix	208	ハガネール	steel	ground	75	85	200	55	65	30	510	rock-head,sturdy
tyranitar	248	バンギラス	rock	dark	100	134	110	95	100	61	600	sand-stream
kingdra	230	キングドラ	water	dragon	75	95	95	95	95	85	540	swift-swim,sniper
bellossom	182	キレイハナ	grass	-	75	80	95	90	100	50	490	chlorophyll
espeon	196	エーフィ	psychic	-	65	65	60	130	95	110	525	synchronize
umbreon	197	ブラッキー	dark	-	95	65	110	60	130	65	525	synchronize
slowking	199	ヤドキング	water	psychic	95	75	80	100	110	30	490	oblivious,own-tempo
houndoom	229	ヘルガー	dark	fire	75	90	50	110	80	95	500	early-bird,flash-fire
hitmontop	237	カポエラー	fighting	-	50	95	95	35	110	70	455	intimidate,technician
scizor	212	ハッサム	bug	steel	70	130	100	55	80	65	500	swarm,technician
blissey	242	ハピナス	normal	-	255	10	10	75	135	55	540	natural-cure,serene-grace
crobat	169	クロバット	poison	flying	85	90	80	70	80	130	535	inner-focus
milotic	350	ミロカロス	water	-	95	60	79	100	125	81	540	marvel-scale,competitive
manectric	310	ライボルト	electric	-	70	75	60	105	60	105	475	static,lightning-rod
gardevoir	282	サーナイト	psychic	fairy	68	65	65	125	115	80	518	synchronize,trace
hariyama	297	ハリテヤマ	fighting	-	144	120	60	40	60	50	474	thick-fat,guts
banette	354	ジュペッタ	ghost	-	64	115	65	83	63	65	455	insomnia,frisk
salamence	373	ボーマンダ	dragon	flying	95	135	80	110	80	100	600	intimidate
metagross	376	メタグロス	steel	psychic	80	135	130	95	90	70	600	clear-body
rhyperior	464	ドサイドン	ground	rock	115	140	130	55	55	40	535	lightning-rod,solid-rock
roserade	407	ロズレイド	grass	poison	60	70	65	125	105	90	515	natural-cure,poison-point
tangrowth	465	モジャンボ	grass	-	100	100	125	110	50	50	535	chlorophyll,leaf-guard
toxicroak	454	ドクロッグ	poison	fighting	83	106	65	86	65	85	490	anticipation,dry-skin
magmortar	467	ブーバーン	fire	-	75	95	67	125	95	83	540	flame-body
electivire	466	エレキブル	electric	-	75	123	67	95	85	95	540	motor-drive
garchomp	445	ガブリアス	dragon	ground	108	130	95	80	85	102	600	sand-veil
abomasnow	460	ユキノオー	grass	ice	90	92	75	92	85	60	494	snow-warning
mamoswine	473	マンムー	ice	ground	110	130	80	70	60	80	530	oblivious,snow-cloak
glaceon	471	グレイシア	ice	-	65	60	110	130	95	65	525	snow-cloak
leafeon	470	リーフィア	grass	-	65	110	130	60	65	95	525	leaf-guard
mismagius	429	ムウマージ	ghost	-	60	60	60	105	105	105	495	levitate
dusknoir	477	ヨノワール	ghost	-	45	100	135	65	135	45	525	pressure
drapion	452	ドラピオン	poison	dark	70	90	110	60	75	95	500	battle-armor,sniper
togekiss	468	トゲキッス	fairy	flying	85	50	95	120	115	80	545	hustle,serene-grace
scolipede	545	ペンドラー	bug	poison	60	100	89	55	69	112	485	poison-point,swarm
chandelure	609	シャンデラ	ghost	fire	60	55	90	145	90	80	520	flash-fire,flame-body
excadrill	530	ドリュウズ	ground	steel	110	135	60	50	65	88	508	sand-rush,sand-force
conkeldurr	534	ローブシン	fighting	-	105	140	95	55	65	45	505	guts,sheer-force
sylveon	700	ニンフィア	fairy	-	95	65	65	110	130	60	525	cute-charm
slugma	218	マグマッグ	fire	-	40	40	40	70	40	20	250	magma-armor,flame-body
magcargo	219	マグカルゴ	fire	rock	60	50	120	90	80	30	430	magma-armor,flame-body
dunsparce	206	ノコッチ	normal	-	100	70	70	65	65	45	415	serene-grace,run-away
sneasel	215	ニューラ	dark	ice	55	95	55	35	75	115	430	inner-focus,keen-eye
swinub	220	ウリムー	ice	ground	50	50	40	30	30	50	250	oblivious,snow-cloak
delibird	225	デリバード	ice	flying	45	55	45	65	45	75	330	vital-spirit,hustle
marill	183	マリル	water	fairy	70	20	50	20	50	40	250	thick-fat,huge-power
wooper	194	ウパー	water	ground	55	45	45	25	25	15	210	damp,water-absorb
hoppip	187	ハネッコ	grass	flying	35	35	40	35	55	50	250	chlorophyll,leaf-guard
qwilfish	211	ハリーセン	water	poison	65	95	85	55	55	85	440	poison-point,swift-swim
remoraid	223	テッポウオ	water	-	35	65	35	65	35	65	300	hustle,sniper
togepi	175	トゲピー	fairy	-	35	20	65	40	65	20	245	hustle,serene-grace
piloswine	221	イノムー	ice	ground	100	100	80	60	60	50	450	oblivious,snow-cloak
azumarill	184	マリルリ	water	fairy	100	50	80	60	80	50	420	thick-fat,huge-power
quagsire	195	ヌオー	water	ground	95	85	85	65	65	35	430	damp,water-absorb
skiploom	188	ポポッコ	grass	flying	55	45	50	45	65	80	340	chlorophyll,leaf-guard
jumpluff	189	ワタッコ	grass	flying	75	55	70	55	95	110	460	chlorophyll,leaf-guard
octillery	224	オクタン	water	-	75	105	75	105	75	45	480	suction-cups,sniper
togetic	176	トゲチック	fairy	flying	55	40	85	80	105	40	405	hustle,serene-grace
sentret	161	オタチ	normal	-	35	46	34	35	45	20	215	run-away,keen-eye
furret	162	オオタチ	normal	-	85	76	64	45	55	90	415	run-away,keen-eye
ledyba	165	レディバ	bug	flying	40	20	30	40	80	55	265	swarm,early-bird
ledian	166	レディアン	bug	flying	55	35	50	55	110	85	390	swarm,early-bird
spinarak	167	イトマル	bug	poison	40	60	40	40	40	30	250	swarm,insomnia
ariados	168	アリアドス	bug	poison	70	90	70	60	70	40	400	swarm,insomnia
natu	177	ネイティ	psychic	flying	40	50	45	70	45	70	320	synchronize,early-bird
xatu	178	ネイティオ	psychic	flying	65	75	70	95	70	95	470	synchronize,early-bird
yanma	193	ヤンヤンマ	bug	flying	65	65	45	75	45	95	390	speed-boost,compound-eyes
murkrow	198	ヤミカラス	dark	flying	60	85	42	85	42	91	405	insomnia,super-luck
misdreavus	200	ムウマ	ghost	-	60	60	60	85	85	85	435	levitate
wobbuffet	202	ソーナンス	psychic	-	190	33	58	33	58	33	405	shadow-tag
heracross	214	ヘラクロス	bug	fighting	80	125	75	40	95	85	500	swarm,guts
mantine	226	マンタイン	water	flying	85	40	70	80	140	70	485	swift-swim,water-absorb
skarmory	227	エアームド	steel	flying	65	80	140	40	70	70	465	keen-eye,sturdy
phanpy	231	ゴマゾウ	ground	-	90	60	60	40	40	40	330	pickup
donphan	232	ドンファン	ground	-	90	120	120	60	60	50	500	sturdy
larvitar	246	ヨーギラス	rock	ground	50	64	50	45	50	41	300	guts
pupitar	247	サナギラス	rock	ground	70	84	70	65	70	51	410	shed-skin
