species	gen	learnset	tm
psyduck	9	1:scratch,1:tail-whip,3:water-gun,6:confusion,9:fury-swipes,12:water-pulse,18:zen-headbutt,21:screech,24:aqua-tail,34:amnesia	aerial-ace,blizzard,brick-break,calm-mind,dig,double-team,flash,hail,ice-beam,iron-tail,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
golduck	9	1:aqua-jet,1:confusion,1:scratch,1:tail-whip,1:water-gun,9:fury-swipes,12:water-pulse,18:zen-headbutt,21:screech,24:aqua-tail,36:amnesia,40:hydro-pump	aerial-ace,blizzard,brick-break,calm-mind,dig,double-team,flash,hail,hyper-beam,ice-beam,iron-tail,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
mankey	9	1:covet,1:leer,1:scratch,5:fury-swipes,22:cross-chop,26:assurance,36:screech,40:stomping-tantrum	aerial-ace,brick-break,dig,double-team,earthquake,iron-tail,overheat,rain-dance,rock-smash,rock-tomb,strength,sunny-day,thunder,thunderbolt,toxic
primeape	9	1:leer,1:scratch,5:fury-swipes,22:cross-chop,26:assurance,35:rage-fist,44:screech,48:stomping-tantrum	aerial-ace,brick-break,dig,double-team,earthquake,hyper-beam,iron-tail,overheat,rain-dance,rock-smash,rock-tomb,strength,sunny-day,thunder,thunderbolt,toxic
growlithe	9	1:ember,1:leer,4:howl,8:bite,12:flame-wheel,20:agility,28:retaliate,32:crunch,36:take-down,40:flamethrower,48:play-rough,56:flare-blitz	aerial-ace,dig,double-team,fire-blast,flamethrower,iron-tail,overheat,rock-smash,strength,sunny-day,toxic
arcanine	9	1:agility,1:bite,1:crunch,1:ember,1:extreme-speed,1:flame-wheel,1:flare-blitz,1:howl,1:leer,1:play-rough,1:retaliate,1:take-down,5:flamethrower	aerial-ace,dig,double-team,fire-blast,flamethrower,hyper-beam,iron-tail,overheat,rock-smash,strength,sunny-day,toxic
poliwag	9	1:hypnosis,1:water-gun,6:pound,12:mud-shot,18:bubble-beam,24:rain-dance,30:body-slam,36:earth-power,42:hydro-pump,54:double-edge	blizzard,dig,double-team,hail,ice-beam,psychic,rain-dance,surf,toxic,water-pulse,waterfall
poliwhirl	9	1:hypnosis,1:mud-shot,1:pound,1:water-gun,18:bubble-beam,24:rain-dance,32:body-slam,40:earth-power,48:hydro-pump,66:double-edge	blizzard,brick-break,dig,double-team,earthquake,hail,ice-beam,psychic,rain-dance,rock-smash,strength,surf,toxic,water-pulse,waterfall
poliwrath	9	1:body-slam,1:bubble-beam,1:double-edge,1:dynamic-punch,1:earth-power,1:hydro-pump,1:hypnosis,1:mud-shot,1:pound,1:rain-dance,1:water-gun	blizzard,brick-break,dig,double-team,earthquake,hail,hyper-beam,ice-beam,psychic,rain-dance,rock-smash,rock-tomb,strength,surf,toxic,water-pulse,waterfall
abra	8	1:teleport	calm-mind,double-team,flash,iron-tail,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,sunny-day,toxic
kadabra	8	1:confusion,1:kinesis,1:teleport,5:psybeam,10:reflect,20:psycho-cut,25:recover,30:psyshock,35:psychic,50:calm-mind	calm-mind,double-team,flash,iron-tail,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,sunny-day,toxic
alakazam	8	1:confusion,1:kinesis,1:teleport,5:psybeam,10:reflect,20:psycho-cut,25:recover,30:psyshock,35:psychic,50:calm-mind	calm-mind,double-team,flash,hyper-beam,iron-tail,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,shock-wave,sunny-day,toxic
machop	8	1:leer,8:revenge,12:low-sweep,16:knock-off,20:scary-face,24:vital-throw,29:strength,32:dual-chop,44:dynamic-punch,48:cross-chop,52:double-edge	brick-break,dig,double-team,earthquake,fire-blast,flamethrower,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
machoke	8	1:leer,1:revenge,12:low-sweep,16:knock-off,20:scary-face,24:vital-throw,31:strength,36:dual-chop,54:dynamic-punch,60:cross-chop,66:double-edge	brick-break,dig,double-team,earthquake,fire-blast,flamethrower,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
machamp	8	1:leer,1:revenge,12:low-sweep,16:knock-off,20:scary-face,24:vital-throw,31:strength,36:dual-chop,54:dynamic-punch,60:cross-chop,66:double-edge	brick-break,dig,double-team,earthquake,fire-blast,flamethrower,hyper-beam,rain-dance,rock-smash,rock-tomb,strength,sunny-day,toxic
bellsprout	9	1:vine-whip,13:sleep-powder,15:poison-powder,17:stun-spore,23:acid,27:knock-off,29:sweet-scent,39:razor-leaf,41:poison-jab,47:slam,52:power-whip	bullet-seed,cut,double-team,flash,giga-drain,sludge-bomb,solar-beam,sunny-day,toxic
weepinbell	9	1:vine-whip,13:sleep-powder,15:poison-powder,17:stun-spore,24:acid,29:knock-off,32:sweet-scent,44:razor-leaf,47:poison-jab,54:slam,58:power-whip	bullet-seed,cut,double-team,flash,giga-drain,sludge-bomb,solar-beam,sunny-day,toxic
victreebel	9	1:leaf-storm,1:power-whip,1:razor-leaf,1:sleep-powder,1:sweet-scent,1:vine-whip,44:leaf-blade	bullet-seed,cut,double-team,flash,giga-drain,hyper-beam,sludge-bomb,solar-beam,sunny-day,toxic
tentacool	9	1:poison-sting,1:water-gun,4:acid,12:supersonic,16:water-pulse,20:screech,24:bubble-beam,28:hex,32:acid-armor,36:poison-jab,40:surf,44:sludge-wave,48:hydro-pump	blizzard,cut,double-team,giga-drain,hail,ice-beam,rain-dance,sludge-bomb,surf,toxic,water-pulse,waterfall
tentacruel	9	1:acid,1:poison-sting,1:water-gun,12:supersonic,16:water-pulse,20:screech,24:bubble-beam,28:hex,34:acid-armor,40:poison-jab,46:surf,52:sludge-wave,58:hydro-pump	blizzard,cut,double-team,giga-drain,hail,hyper-beam,ice-beam,rain-dance,sludge-bomb,surf,toxic,water-pulse,waterfall
geodude	9	1:tackle,6:rock-polish,12:bulldoze,16:rock-throw,30:rock-blast,34:earthquake,40:double-edge,42:stone-edge	brick-break,dig,double-team,earthquake,fire-blast,flamethrower,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
graveler	9	1:rock-polish,1:tackle,12:bulldoze,16:rock-throw,34:rock-blast,40:earthquake,50:double-edge,54:stone-edge	brick-break,dig,double-team,earthquake,fire-blast,flamethrower,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
golem	9	1:rock-polish,1:tackle,16:rock-throw,22:bulldoze,34:rock-blast,40:earthquake,50:double-edge,54:stone-edge	brick-break,dig,double-team,earthquake,fire-blast,flamethrower,hyper-beam,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
ponyta	8	1:growl,1:tackle,5:tail-whip,10:ember,15:flame-charge,20:agility,25:flame-wheel,30:stomp,41:take-down,45:inferno,50:fire-blast,55:flare-blitz	double-team,fire-blast,flamethrower,iron-tail,overheat,solar-beam,strength,sunny-day,toxic
rapidash	8	1:ember,1:growl,1:megahorn,1:poison-jab,1:quick-attack,1:smart-strike,1:tackle,1:tail-whip,15:flame-charge,20:agility,25:flame-wheel,30:stomp,43:take-down,49:inferno,56:fire-blast,63:flare-blitz	double-team,fire-blast,flamethrower,hyper-beam,iron-tail,overheat,solar-beam,strength,sunny-day,toxic
slowpoke	9	1:tackle,3:growl,6:water-gun,12:confusion,18:water-pulse,21:headbutt,24:zen-headbutt,27:amnesia,30:surf,33:slack-off,36:psychic,42:rain-dance	blizzard,calm-mind,dig,double-team,earthquake,fire-blast,flamethrower,flash,hail,ice-beam,iron-tail,psychic,rain-dance,safeguard,shadow-ball,strength,sunny-day,surf,toxic,water-pulse
slowbro	9	1:growl,1:tackle,1:water-gun,1:withdraw,12:confusion,18:water-pulse,21:headbutt,24:zen-headbutt,27:amnesia,30:surf,33:slack-off,36:psychic,46:rain-dance	blizzard,brick-break,calm-mind,dig,double-team,earthquake,fire-blast,flamethrower,flash,hail,hyper-beam,ice-beam,iron-tail,psychic,rain-dance,rock-smash,safeguard,shadow-ball,strength,sunny-day,surf,toxic,water-pulse
magnemite	9	1:tackle,1:thunder-shock,4:supersonic,8:thunder-wave,20:spark,24:screech,32:flash-cannon,36:discharge,40:metal-sound,44:light-screen,52:zap-cannon	double-team,flash,rain-dance,reflect,shock-wave,sunny-day,thunder,thunderbolt,toxic
magneton	9	1:supersonic,1:tackle,1:thunder-shock,1:thunder-wave,1:tri-attack,20:spark,24:screech,34:flash-cannon,40:discharge,46:metal-sound,52:light-screen,64:zap-cannon	double-team,flash,hyper-beam,rain-dance,reflect,shock-wave,sunny-day,thunder,thunderbolt,toxic
farfetchd	8	1:peck,1:sand-attack,5:leer,15:cut,20:aerial-ace,25:air-cutter,30:knock-off,35:false-swipe,40:slash,45:swords-dance,50:air-slash,55:leaf-blade,60:agility,65:brave-bird	aerial-ace,cut,double-team,fly,iron-tail,sunny-day,toxic
doduo	9	1:growl,1:peck,5:quick-attack,9:fury-attack,14:pluck,19:double-hit,23:agility,33:swords-dance,36:drill-peck	aerial-ace,double-team,fly,sunny-day,toxic
dodrio	9	1:growl,1:peck,1:quick-attack,1:tri-attack,12:fury-attack,15:pluck,19:double-hit,23:agility,34:swords-dance,38:drill-peck	aerial-ace,double-team,fly,hyper-beam,sunny-day,toxic
seel	9	1:headbutt,3:growl,7:charm,11:icy-wind,17:ice-shard,27:aurora-beam,31:aqua-jet,33:brine,37:take-down,43:aqua-tail,47:ice-beam,51:safeguard	blizzard,double-team,hail,ice-beam,rain-dance,safeguard,surf,toxic,water-pulse,waterfall
dewgong	9	1:growl,1:headbutt,1:icy-wind,17:ice-shard,27:aurora-beam,31:aqua-jet,33:brine,39:take-down,49:aqua-tail,55:ice-beam,61:safeguard	blizzard,double-team,hail,hyper-beam,ice-beam,rain-dance,safeguard,surf,toxic,water-pulse,waterfall
grimer	9	1:poison-gas,1:pound,4:harden,7:mud-slap,15:sludge,18:mud-shot,26:toxic,29:sludge-bomb,32:sludge-wave,37:screech,40:gunk-shot,43:acid-armor	dig,double-team,fire-blast,flamethrower,giga-drain,rain-dance,rock-tomb,shock-wave,sludge-bomb,sunny-day,thunder,thunderbolt,toxic
muk	9	1:harden,1:mud-slap,1:poison-gas,1:pound,15:sludge,18:mud-shot,26:toxic,29:sludge-bomb,32:sludge-wave,37:screech,40:gunk-shot,46:acid-armor	brick-break,dig,double-team,fire-blast,flamethrower,giga-drain,hyper-beam,rain-dance,rock-smash,rock-tomb,shock-wave,sludge-bomb,strength,sunny-day,thunder,thunderbolt,toxic
shellder	9	1:tackle,1:water-gun,4:withdraw,8:ice-shard,12:leer,20:supersonic,24:aurora-beam,32:razor-shell,36:iron-defense,40:ice-beam,48:hydro-pump	blizzard,double-team,hail,ice-beam,rain-dance,surf,toxic,water-pulse
cloyster	9	1:aurora-beam,1:hydro-pump,1:ice-beam,1:ice-shard,1:icicle-crash,1:icicle-spear,1:iron-defense,1:leer,1:supersonic,1:tackle,1:water-gun,1:withdraw,5:razor-shell	blizzard,double-team,hail,hyper-beam,ice-beam,rain-dance,surf,toxic,water-pulse
gastly	9	1:confuse-ray,1:lick,4:hypnosis,12:payback,24:hex,36:dark-pulse,40:shadow-ball	double-team,giga-drain,psychic,rain-dance,shadow-ball,sludge-bomb,sunny-day,thunderbolt,toxic
haunter	9	1:confuse-ray,1:hypnosis,1:lick,1:shadow-punch,12:payback,24:hex,42:dark-pulse,48:shadow-ball	double-team,giga-drain,psychic,rain-dance,shadow-ball,sludge-bomb,sunny-day,thunderbolt,toxic
gengar	9	1:confuse-ray,1:hypnosis,1:lick,1:shadow-punch,12:payback,24:hex,42:dark-pulse,48:shadow-ball	brick-break,double-team,giga-drain,hyper-beam,psychic,rain-dance,rock-smash,shadow-ball,sludge-bomb,strength,sunny-day,thunder,thunderbolt,toxic
onix	8	1:harden,1:rock-throw,1:tackle,8:rock-polish,12:dragon-breath,20:rock-slide,24:screech,36:slam,40:sandstorm,44:dig,48:iron-tail,52:stone-edge,56:double-edge	dig,double-team,earthquake,iron-tail,rock-smash,rock-tomb,sandstorm,strength,sunny-day,toxic
drowzee	9	1:hypnosis,1:pound,9:confusion,13:headbutt,17:poison-gas,21:psybeam,29:zen-headbutt,37:psychic,41:nasty-plot,45:psyshock	brick-break,calm-mind,double-team,flash,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,sunny-day,toxic
hypno	9	1:confusion,1:hypnosis,1:pound,13:headbutt,17:poison-gas,21:psybeam,32:zen-headbutt,42:psychic,47:nasty-plot,51:psyshock	brick-break,calm-mind,double-team,flash,hyper-beam,light-screen,psychic,rain-dance,reflect,safeguard,shadow-ball,sunny-day,toxic
