species	shape	color	size	parts	accent	ears	tail	mark
exeggutor	legs	yellow	large	plant,aura	green	tuft	none	none
cubone	upright	brown	tiny	spike	cream	none	thin	mask
marowak	upright	brown	small	spike	cream	none	thin	mask
hitmonlee	humanoid	brown	medium	band	cream	none	none	none
hitmonchan	humanoid	brown	medium	band	cream	none	none	band
lickitung	upright	pink	medium		cream	none	thin	none
koffing	ball	purple	small	drip	gray	none	none	spots
weezing	heads	purple	medium	drip	gray	none	none	spots
rhyhorn	quadruped	gray	small	spike	gray	none	thin	band
rhydon	upright	gray	large	spike,horn,plate	gray	none	thin	band
chansey	upright	pink	medium		white	none	none	belly
tangela	legs	blue	small	plant	navy	none	none	none
kangaskhan	upright	brown	large		cream	pointed	thin	belly
horsea	blob	blue	tiny	fin	cream	fin	curl	none
seadra	blob	blue	small	fin,spike	cream	fin	curl	none
goldeen	fish	red	small	fin,horn	white	fin	fan	none
seaking	fish	red	medium	fin,horn	white	fin	fan	stripes
staryu	blob	brown	small	fin	red	none	none	none
starmie	blob	purple	medium	fin,aura,sparkle	red	none	none	none
mr-mime	humanoid	pink	medium	aura,sparkle	red	none	none	none
scyther	bug-wings	green	medium	antenna,wing	cream	none	none	none
jynx	humanoid	red	medium	crystal,aura	red	none	none	none
electabuzz	upright	yellow	medium	spark	black	pointed	bolt	stripes
magmar	upright	red	medium	flame	red	tuft	flame	none
pinsir	humanoid	brown	medium	antenna,horn	cream	none	none	none
tauros	quadruped	brown	medium	horn	cream	pointed	bushy	spots
magikarp	fish	red	small	fin	white	fin	fan	none
gyarados	squiggle	blue	large	fin,wing,spike	cream	fin	fan	none
lapras	quadruped	blue	large	fin,crystal,plate	cream	none	none	belly
ditto	ball	purple	tiny		purple	none	none	none
eevee	quadruped	brown	tiny		cream	pointed	bushy	none
vaporeon	quadruped	blue	small	fin	cream	fin	fin	none
jolteon	quadruped	yellow	small	spark,spike	cream	pointed	spike	none
flareon	quadruped	red	small	flame	cream	pointed	bushy	none
porygon	legs	pink	small		blue	none	none	none
omanyte	tentacles	blue	tiny	spike,fin	cream	none	none	swirl
omastar	tentacles	blue	small	spike,fin	cream	none	spike	swirl
kabuto	armor	brown	tiny	spike,fin	cream	none	none	none
kabutops	upright	brown	medium	spike,fin	cream	none	none	none
aerodactyl	wings	purple	large	spike,wing	gray	tuft	spike	none
snorlax	humanoid	black	large		cream	round	none	belly
articuno	wings	blue	medium	crystal,wing	teal	tuft	fan	none
zapdos	wings	yellow	medium	spark,wing	black	tuft	spike	none
moltres	wings	yellow	large	flame,wing	orange	tuft	flame	none
dratini	squiggle	blue	large	horn,fin	white	fin	none	none
dragonair	squiggle	blue	large	horn,fin,crystal	white	fin	none	none
dragonite	upright	brown	large	horn,wing	cream	pointed	thin	belly
mewtwo	upright	purple	large	aura	purple	pointed	thin	none
mew	upright	pink	tiny	aura	pink	pointed	thin	none
steelix	squiggle	gray	large	plate,spike	gray	none	none	none
tyranitar	upright	green	large	spike,aura,plate	cream	none	spike	belly
kingdra	blob	blue	large	fin,horn	cream	fin	curl	none
bellossom	humanoid	green	tiny	plant	green	none	none	none
espeon	quadruped	purple	small	aura	cream	pointed	spike	none
umbreon	quadruped	black	small	aura	yellow	pointed	thin	band
slowking	upright	pink	large	fin,aura	cream	round	curl	none
houndoom	quadruped	black	medium	aura,flame,horn	orange	pointed	spike	band
hitmontop	upright	brown	medium	band	cream	none	spike	none
scizor	bug-wings	red	large	antenna,plate,wing	gray	none	none	none
blissey	humanoid	pink	medium		white	none	none	belly
crobat	bug-wings	purple	large	drip,wing	purple	none	none	none
milotic	squiggle	pink	large	fin	pink	fin	fan	none
manectric	quadruped	yellow	medium	spark	yellow	pointed	spike	none
gardevoir	humanoid	white	medium	aura,sparkle	white	none	none	none
hariyama	humanoid	brown	large	band	cream	none	none	band
banette	upright	black	medium	aura	purple	none	none	none
salamence	quadruped	blue	medium	horn,wing	red	pointed	spike	none
metagross	heads	blue	medium	plate,aura	teal	none	none	none
rhyperior	upright	gray	large	spike,horn,plate	orange	none	spike	band
roserade	humanoid	green	small	plant,drip	white	none	none	none
tangrowth	humanoid	blue	large	plant	navy	none	none	none
toxicroak	humanoid	blue	medium	drip,band	red	none	none	none
magmortar	upright	red	large	flame	yellow	tuft	flame	none
electivire	upright	yellow	large	spark	black	pointed	bolt	band
garchomp	upright	blue	large	horn,spike,fin	red	fin	fan	none
abomasnow	upright	white	large	plant,crystal	white	none	none	none
mamoswine	quadruped	brown	large	crystal,spike,horn	brown	round	none	none
glaceon	quadruped	blue	small	crystal	blue	pointed	spike	none
leafeon	quadruped	green	small	plant	brown	pointed	spike	none
mismagius	ball	purple	small	aura	purple	none	none	none
dusknoir	arms	black	large	aura	yellow	none	none	band
drapion	armor	purple	medium	drip,aura	purple	none	spike	none
togekiss	wings	white	medium	sparkle,wing	red	none	fan	spots
scolipede	armor	red	large	antenna,drip,horn	red	none	spike	stripes
chandelure	arms	black	small	aura,flame	yellow	none	none	none
excadrill	humanoid	gray	small	spike,plate	red	none	spike	none
conkeldurr	humanoid	brown	medium	band,plate	brown	none	none	none
sylveon	quadruped	pink	small	sparkle	pink	long	fan	none
slugma	squiggle	red	small	flame	orange	none	none	none
magcargo	squiggle	red	small	flame,spike	gray	none	none	none
dunsparce	squiggle	yellow	medium	wing	cream	none	spike	stripes
sneasel	upright	black	small	aura,crystal	red	pointed	thin	none
swinub	quadruped	brown	tiny	crystal,spike	cream	round	none	none
delibird	wings	red	small	crystal,wing	white	tuft	fan	belly
marill	upright	blue	tiny	fin,sparkle	white	round	ball	belly
wooper	legs	blue	tiny	fin,spike	pink	fin	thin	none
hoppip	upright	pink	tiny	plant,wing	green	none	none	none
qwilfish	fish	gray	tiny	fin,drip,spike	cream	none	fan	spots
remoraid	fish	gray	small	fin	cream	fin	fan	none
togepi	humanoid	white	tiny	sparkle	red	none	none	spots
piloswine	quadruped	brown	medium	crystal,spike,horn	cream	round	none	none
azumarill	upright	blue	small	fin,sparkle	white	round	ball	spots
quagsire	upright	blue	medium	fin,spike	cream	fin	thin	none
skiploom	upright	green	small	plant,wing	green	none	none	none
jumpluff	upright	blue	small	plant,wing	white	none	none	none
octillery	tentacles	red	small	fin	cream	none	none	none
togetic	humanoid	white	small	sparkle,wing	red	none	none	spots
sentret	quadruped	brown	small		cream	round	bushy	stripes
furret	quadruped	brown	medium		cream	round	bushy	stripes
ledyba	wings	red	small	antenna,wing	black	none	none	spots
ledian	wings	red	medium	antenna,wing	black	none	none	spots
spinarak	armor	green	tiny	antenna,drip	green	none	none	mask
ariados	armor	red	medium	antenna,drip	yellow	none	none	stripes
natu	wings	green	tiny	aura,wing	red	tuft	fan	band
xatu	wings	green	medium	aura,wing	red	tuft	fan	band
yanma	bug-wings	red	medium	antenna,wing	red	none	none	none
murkrow	wings	black	tiny	aura,wing	red	tuft	fan	none
misdreavus	ball	gray	small	aura	red	none	none	none
wobbuffet	blob	blue	medium	aura	black	none	thin	none
heracross	humanoid	blue	medium	antenna,band,horn	cream	none	none	none
mantine	wings	purple	large	fin,wing	cream	fin	thin	spots
skarmory	wings	gray	medium	plate,wing	red	tuft	spike	none
phanpy	quadruped	blue	tiny	spike	cream	round	thin	none
donphan	quadruped	gray	medium	spike	gray	round	thin	band
larvitar	upright	green	small	spike	green	none	spike	none
pupitar	squiggle	gray	medium	spike	gray	none	none	none
